DATAFLOW,LAST UPDATE,freq,unit,month,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,August,Ireland,2021,5203,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,August,Ireland,2022,4709,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,August,Ireland,2023,4742,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,September,Ireland,2015,5839,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,September,Ireland,2016,5677,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,September,Ireland,2017,5383,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,September,Ireland,2018,5243,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,September,Ireland,2019,5090,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,September,Ireland,2020,4839,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,September,Ireland,2021,5352,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,September,Ireland,2022,4773,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,September,Ireland,2023,4545,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,October,Ireland,2015,5614,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,October,Ireland,2016,5381,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,October,Ireland,2017,5276,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,October,Ireland,2018,5179,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,October,Ireland,2019,5109,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,October,Ireland,2020,4632,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,October,Ireland,2021,5249,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,October,Ireland,2022,4705,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,October,Ireland,2023,4811,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,November,Ireland,2015,5276,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,November,Ireland,2016,5177,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,November,Ireland,2017,5140,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,November,Ireland,2018,5228,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,November,Ireland,2019,5012,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,November,Ireland,2020,4348,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,November,Ireland,2021,5096,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,November,Ireland,2022,4474,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,November,Ireland,2023,4606,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,December,Ireland,2015,5427,,
ESTAT:DEMO_FMONTH(1.0),29/01/2026 23:00,Annual,Number,December,Ireland,2016,5320,,
