"country","age_group","start_date","end_date","total_rsv_hospitalisations","season"
"Cyprus","75-79",2027-08-30,2028-08-27,70,"2027/2028"
"Cyprus","80+",2027-08-30,2028-08-27,141,"2027/2028"
"Czech Republic","0-2mo",2026-08-31,2027-08-29,1694,"2026/2027"
"Czech Republic","1-4",2026-08-31,2027-08-29,1438,"2026/2027"
"Czech Republic","18-59",2026-08-31,2027-08-29,345,"2026/2027"
"Czech Republic","3-5mo",2026-08-31,2027-08-29,845,"2026/2027"
"Czech Republic","5-17",2026-08-31,2027-08-29,99,"2026/2027"
"Czech Republic","6-11mo",2026-08-31,2027-08-29,808,"2026/2027"
"Czech Republic","60-64",2026-08-31,2027-08-29,172,"2026/2027"
"Czech Republic","65-69",2026-08-31,2027-08-29,296,"2026/2027"
"Czech Republic","70-74",2026-08-31,2027-08-29,494,"2026/2027"
"Czech Republic","75-79",2026-08-31,2027-08-29,660,"2026/2027"
"Czech Republic","80+",2026-08-31,2027-08-29,1555,"2026/2027"
"Czech Republic","0-2mo",2027-08-30,2028-08-27,1694,"2027/2028"
"Czech Republic","1-4",2027-08-30,2028-08-27,1438,"2027/2028"
"Czech Republic","18-59",2027-08-30,2028-08-27,345,"2027/2028"
"Czech Republic","3-5mo",2027-08-30,2028-08-27,845,"2027/2028"
"Czech Republic","5-17",2027-08-30,2028-08-27,99,"2027/2028"
"Czech Republic","6-11mo",2027-08-30,2028-08-27,808,"2027/2028"
"Czech Republic","60-64",2027-08-30,2028-08-27,172,"2027/2028"
"Czech Republic","65-69",2027-08-30,2028-08-27,296,"2027/2028"
"Czech Republic","70-74",2027-08-30,2028-08-27,494,"2027/2028"
"Czech Republic","75-79",2027-08-30,2028-08-27,660,"2027/2028"
"Czech Republic","80+",2027-08-30,2028-08-27,1555,"2027/2028"
"Denmark","0-2mo",2026-08-31,2027-08-29,864,"2026/2027"
"Denmark","1-4",2026-08-31,2027-08-29,1115,"2026/2027"
"Denmark","18-59",2026-08-31,2027-08-29,187,"2026/2027"
"Denmark","3-5mo",2026-08-31,2027-08-29,595,"2026/2027"
"Denmark","5-17",2026-08-31,2027-08-29,46,"2026/2027"
"Denmark","6-11mo",2026-08-31,2027-08-29,546,"2026/2027"
"Denmark","60-64",2026-08-31,2027-08-29,111,"2026/2027"
"Denmark","65-69",2026-08-31,2027-08-29,162,"2026/2027"
"Denmark","70-74",2026-08-31,2027-08-29,219,"2026/2027"
"Denmark","75-79",2026-08-31,2027-08-29,296,"2026/2027"
"Denmark","80+",2026-08-31,2027-08-29,749,"2026/2027"
"Denmark","0-2mo",2027-08-30,2028-08-27,864,"2027/2028"
"Denmark","1-4",2027-08-30,2028-08-27,1115,"2027/2028"
"Denmark","18-59",2027-08-30,2028-08-27,187,"2027/2028"
"Denmark","3-5mo",2027-08-30,2028-08-27,595,"2027/2028"
"Denmark","5-17",2027-08-30,2028-08-27,46,"2027/2028"
